Global_active_power, Noise, Anomaly
1.0543,1.007176916,0
1.06435,1.159147272,0
1.89,2.785738675,1
1.12425,0.138899678,1
1.532,2.149481508,1
1.1754,0.863938139,0
1.20075,1.065976317,0
1.22715,1.468336081,0
1.406,2.26534806,1
1.28105,0.61571024,1
1.392,2.321037611,1
1.3349,1.444536149,0
1.36325,1.00590515,0
1.22,2.181940187,1
0.316,-0.392722545,1
0.222,0.653621327,0
1.2786,1.780061378,1
1.2395,0.494608883,1
0.222,-0.305506524,1
1.1814,1.763764738,1
0.222,0.512262551,0
0.222,-0.560204108,1
0.222,-0.748534175,1
1.0766,0.998472141,0
0.222,1.053270921,1
1.05575,0.79667864,0
1.844,2.48128011,1
1.814,2.464528554,1
1.10025,1.362274301,0
1.492,1.417693552,0
1.15725,0.751258056,0
1.18445,1.039150439,0
1.2118,0.238093842,1
1.388,2.198687208,1
1.386,0.846604962,1
1.388,0.908880154,0
1.384,0.685263532,1
1.384,1.563401028,0
1.564,0.638254456,1
1.4113,1.86803196,0
0.542,0.410535393,0
0.538,0.954079476,0
1.3099,1.056247835,0
1.2791,2.266543011,1
1.25695,1.484929647,0
0.644,0.618597585,0
0.644,0.679477678,0
1.20045,1.524212051,0
0.644,1.268245525,1
1.1625,1.222715356,0
0.702,1.316966148,1
2.404,2.125560232,0
1.1917,0.372134943,1
2.2,2.113050229,0
1.2633,1.098654601,0
1.30295,1.038031024,0
1.72,1.785331447,0
1.71,1.683866534,0
1.4129,0.596278757,1
1.448,1.324552868,0
1.626,1.677258029,0
1.51835,1.733047763,0
1.55345,2.53261178,1
1.624,1.557654508,0
0.89,1.630652184,1
1.58,1.654337172,0
0.54,0.623342307,0
1.5155,1.347467943,0
1.48385,1.985185225,1
1.46005,2.230447302,1
0.538,0.668357795,0
1.41795,0.74001035,1
0.538,-0.281145573,1
0.538,0.553761517,0
0.59,0.303829344,0
1.182,2.056183075,1
2.278,2.749448057,0
2.194,1.236022814,1
2.178,2.871892495,1
1.43035,1.287023336,0
1.4586,2.164050962,1
1.692,1.00551806,1
1.51475,0.541033029,1
1.53995,0.741758944,1
1.56455,1.875277403,0
1.58995,2.462397824,1
1.6171,1.291365496,0
1.726,1.839243613,0
1.66875,1.644082606,0
1.6709,2.396423938,1
0.732,1.187548707,0
0.728,1.055396998,0
0.728,0.724022271,0
1.55545,1.753151588,0
0.722,0.127473931,1
0.722,1.37583763,1
0.72,1.156917696,0
0.72,1.532693327,1
1.4187,0.665490827,1
1,0.153642475,1
2.436,3.327255278,1
1.4382,0.641709735,1
2.206,3.028426826,1
1.4671,2.320948224,1
1.4871,2.416957561,1
1.698,1.990905798,0
1.702,1.242705805,0
1.668,1.832673427,0
1.62,0.819220885,1
1.626,1.587171527,0
1.63,1.893632967,0
1.624,1.647308632,0
1.628,1.907974039,0
1.632,1.958705421,0
1.73815,1.909251906,0
0.55,0.287739969,0
0.546,0.734414734,0
0.548,1.325352836,1
0.548,1.170927105,1
1.55795,2.42615436,1
0.63,0.030071676,1
1.50495,2.475048694,1
1.47795,2.334585337,1
0.618,1.393811287,1
1.4267,0.741548595,1
2.214,3.016960797,1
1.45225,1.77828808,0
2.18,2.163152839,0
2.166,1.776287586,0
1.916,1.975991714,0
1.53135,0.968615379,1
1.716,2.37475473,1
1.5808,2.376031987,1
1.6055,2.14575002,1
1.63015,1.595568058,0
1.71,2.211941227,1
1.6744,1.165491234,1
1.3,0.472434805,1
1.67895,0.950901383,1
0.318,-0.664178395,1
0.318,0.649742019,0
1.5836,2.093192069,1
1.5649,1.478922728,0
1.444,0.458161079,1
1.5379,0.999790972,1
1.5288,0.961040075,1
1.33,0.377422959,1
1.334,2.00331685,1
1.914,0.940599682,1
1.55225,2.219983962,1
1.58425,1.049672896,1
2.91,3.56956486,1
1.6484,0.838166222,1
2.424,1.802586468,1
2.402,3.155570799,1
2.41,3.331156584,1
2.418,1.764874398,1
1.85175,0.898365539,1
2.4,2.938999629,1
2.402,1.528896764,1
2.404,3.370867718,1
2.03315,2.590702966,1
1.42,0.974385841,0
1.34,1.479229171,0
2.0893,1.613206148,0
2.06765,2.672528236,1
2.0488,2.276876646,0
2.03,2.769724019,1
2.0113,1.372587363,1
1.414,2.083160679,1
1.9911,1.237748735,1
1.9833,1.999279929,0
1.9753,2.480701453,1
2.528,3.1331055,1
3.076,2.612462341,0
2.992,2.882479607,0
2.992,3.048075966,0
2.1375,2.979974258,1
2.466,2.779920315,0
2.252,3.13460852,1
2.812,3.567537839,1
2.34025,2.99697123,1
1.724,1.680553157,0
2.35385,2.296403624,0
1.724,1.318568818,0
1.214,0.991700519,0
0.634,1.102988509,0
0.634,1.050645519,0
0.562,1.348679221,1
0.544,0.588261474,0
2.17125,2.326316829,0
0.548,-0.007524305,1
2.0532,1.686635176,0
0.542,-0.312945381,1
1.9596,1.010553887,1
1.91275,2.686939053,1
1.8705,1.825706228,0
2.264,3.038793558,1
1.8601,2.350354931,0
2.116,1.973012735,0
1.8458,2.049963429,0
1.64,0.947698939,1
1.618,1.926029486,0
1.624,0.981439003,1
1.622,2.043085226,0
1.853,2.302442967,0
1.618,0.772163407,1
1.8621,1.446760722,0
1.8652,2.707324127,1
1.8433,1.706391192,0
1.82145,1.686530619,0
1.7998,1.304200141,0
1.78045,1.513145224,0
0.608,1.264391109,1
1.6708,1.042158926,1
1.61125,0.921396487,1
0.61,0.210999809,0
1.49845,2.110282217,1
0.72,0.264660352,0
1.4039,2.15010563,1
1.502,0.637889728,1
2.28,3.091431127,1
1.3838,2.336844798,1
2.196,2.513025889,0
1.4059,0.91999385,0
1.696,2.498173041,1
1.708,1.090544753,1
1.4715,1.831846834,0
1.698,2.252151612,1
1.5288,1.291073288,0
1.698,2.633273379,1
1.5864,1.867682408,0
0.76,0.112219327,1
0.616,0.07290758,1
0.436,0.114445091,0
1.5852,2.033038899,0
0.306,-0.345308256,1
0.306,-0.094885846,0
1.4802,2.001668398,1
1.43495,1.580075852,0
0.306,-0.070462889,0
0.306,0.190327786,0
1.32345,1.897971392,1
1.3222,1.24578803,0
1.3293,0.508480855,1
1.884,1.534666688,0
1.3425,2.054280471,1
1.602,1.579044067,0
1.396,2.169695693,1
1.36,2.1008074,1
1.3815,1.554689244,0
1.40175,1.745124011,0
1.308,1.538133205,0
1.302,2.046049301,1
1.45355,1.174673007,0
1.312,1.704732302,0
1.46495,0.819604141,1
0.228,1.219003597,1
1.44235,2.285695153,1
0.306,0.924912185,1
0.306,0.372898213,0
1.35385,1.147666573,0
0.416,0.44650911,0
0.412,0.491850839,0
0.41,0.337817813,0
0.408,0.991798211,1
0.406,-0.441819186,1
1.154,0.429787644,1
1.974,1.951946018,0
1.91,1.833520026,0
1.9,2.861454744,1
1.16165,0.163535655,1
1.1774,0.267763819,1
1.1973,1.596834501,0
1.412,1.534668518,0
1.412,1.663561941,0
1.2754,0.512309734,1
1.30035,1.329806769,0
1.3253,1.463145034,0
1.35035,2.213777162,1
1.35135,0.44174257,1
1.3493,1.754800686,0
1.3473,1.933951141,1
0.224,1.037344212,1
1.2715,1.860584044,1
0.224,-0.184100632,0
0.222,-0.726850797,1
0.224,-0.167829975,0
1.12475,1.860534572,1
1.0954,1.381112788,0
1.0661,1.159284758,0
0.226,-0.416311853,1
1.0521,0.807869001,0
1.824,2.726556213,1
1.0777,0.155927638,1
1.09,1.919720538,1
1.11485,1.968668676,1
1.3,0.794670553,1
1.304,2.299770217,1
1.1921,0.787482644,0
1.2174,0.715885874,1
1.2417,1.677692826,0
1.096,2.095098049,1
1.2541,1.104275667,0
1.25005,2.029402656,1
1.2473,1.418603589,0
0.408,0.661010192,0
1.22875,2.059348704,1
1.18965,0.811030783,0
0.408,0.877561066,0
0.404,0.559822568,0
0.404,0.729197372,0
1.0562,0.909358563,0
0.396,1.375917991,1
0.358,0.886519615,1
1.7,2.361397527,1
1.02615,1.233315433,0
1.04815,1.265314898,0
1.0682,1.558966795,0
1.07305,0.408968444,1
1.09885,1.631499008,1
1.1255,1.669510789,1
1.288,0.828003072,0
1.288,1.98023323,1
1.20515,2.035485268,1
1.292,1.895766597,1
1.036,1.282116655,0
1.2522,0.440007607,1
1.25215,1.573456863,0
0.224,0.51694798,0
0.224,0.621743265,0
1.252,1.994239181,1
0.218,0.251686552,0
0.216,-0.24153761,0
1.13075,1.495691288,0
1.0911,0.745499744,0
0.224,0.630402638,0
1.03585,0.772325474,0
0.224,-0.742008444,1
0.9979,0.415680455,1
1.01125,1.350139177,0
1.796,1.016550498,1
1.778,2.764789242,1
1.07445,0.340673506,1
1.09985,0.22974022,1
1.12465,1.892637386,1
1.1468,1.651329584,1
1.1688,0.94465101,0
1.284,0.658036597,1
1.21265,0.629480111,1
0.628,0.250555105,0
1.21835,0.855003778,0
0.4,0.403903758,0
0.4,1.059851773,1
1.2195,1.282233636,0
1.18705,1.141525085,0
1.1489,1.044889755,0
0.404,-0.289135181,1
1.0626,1.082440399,0
1.0359,0.21148606,1
1.01215,1.937336934,1
0.9889,1.054102585,0
0.9656,0.474891842,0
1.578,1.906432803,0
1.936,1.007817801,1
1.846,2.259583387,0
1.81,1.101510821,1
1.0535,0.364196173,1
1.322,0.936976703,0
1.322,1.196119872,0
1.318,0.572994889,1
1.312,0.782689959,1
1.1903,1.373473342,0
1.304,1.37698634,0
1.22155,1.218579268,0
0.258,0.57009851,0
1.22345,1.780671547,1
0.286,-0.440220434,1
1.2278,1.79014301,1
1.2144,0.276747882,1
1.1765,0.275737013,1
1.1401,0.610365645,1
0.342,1.155771009,1
1.0729,0.977376751,0
0.348,0.018392875,0
0.348,0.109089486,0
0.348,0.086335423,0
1.0089,1.382734779,0
1.924,2.403728754,0
1.03995,0.450416204,1
1.07125,1.829659989,1
1.516,1.615537819,0
1.1239,1.840535074,1
1.1491,2.007505496,1
1.17575,0.668343521,1
1.20375,0.477436592,1
1.22985,1.941108656,1
0.996,0.65435644,0
1.24485,0.439255705,1
1.2453,0.961606833,0
1.2458,1.722276566,0
1.25565,1.449483411,0
1.2661,0.426974307,1
2.352,2.851916726,0
2.10865,1.270485223,1
3.542,2.693865146,1
1.4447,1.898180436,0
0.984,1.914917419,1
0.778,0.440822505,0
1.476,2.226635126,1
1.562,1.959253538,0
1.44625,1.068460189,0
1.45975,1.204271809,0
1.4732,1.430692518,0
1.834,0.910349047,1
1.53765,1.992571289,0
1.5664,1.817831576,0
1.53,2.134815091,1
1.764,1.422039928,0
1.836,2.146728315,0
1.7091,1.384347965,0
1.72655,1.644226041,0
0.766,0.596967418,0
0.548,-0.247489501,1
0.706,0.821709883,0
1.7662,1.92165707,0
1.038,0.792054885,0
1.03,1.354767846,0
1.7485,1.328892818,0
1.028,0.751342676,0
1.70555,2.306389854,1
1.69315,1.592015107,0
1.02,0.099373861,1
1.316,1.162036177,0
2.684,2.269871316,0
2.57,2.475403601,0
2.37,1.679391338,1
2.33,1.643854284,1
1.918,1.660641528,0
1.852,1.370527729,0
1.90175,2.20935905,0
1.9309,1.738318004,0
1.956,1.667012274,0
1.9505,2.679593629,1
1.944,1.957212665,0
1.83525,1.9714498,0
1.76815,1.12316601,1
0.866,0.625142557,0
0.86,1.642056449,1
0.934,0.971672232,0
1.7389,1.761155016,0
0.908,0.014443565,1
1.6844,0.684716512,1
0.664,0.54767739,0
0.648,-0.310941132,1
1.60695,1.165750524,0
1.5877,0.950565993,1
1.5778,2.534163808,1
1.59045,0.974656843,1
1.59965,1.606028153,0
1.60765,2.005460261,0
1.63545,0.76416259,1
1.686,2.0365246,0
1.696,2.635479829,1
1.71185,0.861645272,1
1.578,1.076388431,1
1.344,0.886836328,0
1.348,2.246485633,1
1.352,0.723621202,1
1.759,1.929945446,0
1.7415,1.887029952,0
1.725,1.662577292,0
1.7085,1.570673562,0
1.6845,0.824012199,1
1.6264,0.629519265,1
0.35,1.217829961,1
1.51925,0.725913767,1
1.46855,1.570423789,0
0.302,0.493297833,0
0.302,1.281510083,1
0.304,0.10444106,0
1.3123,2.307212328,1
1.3071,1.849811397,1
1.982,2.524720586,1
1.30805,2.00913766,1
1.3106,1.804996289,0
1.3302,1.228748595,0
1.3474,1.543096471,0
1.548,1.352977308,0
1.38,0.407070791,1
1.39425,0.936787608,0
1.4101,0.763127529,1
2.052,2.981647441,1
1.46505,2.201313376,1
1.318,1.438717467,0
1.644,1.82289646,0
1.5314,1.988293404,0
1.55,1.321532446,0
1.59,2.169298357,1
1.776,1.290824234,0
1.884,1.477363472,0
1.89,1.346530377,1
1.894,1.281521355,1
1.51115,1.122261003,0
1.946,2.838142281,1
1.5469,0.631577724,1
2.3715,2.615770003,0
2.47685,3.337654313,1
5.55,5.430558125,0
5.604,4.777228907,1
5.62,4.972136757,1
2.9408,3.201792203,0
3.0594,2.824465975,0
5.124,4.52869676,1
3.29725,2.503187093,1
3.4163,3.819197933,0
5.094,4.680001192,0
5.076,5.883804014,1
5.268,4.506392169,1
3.1018,2.757198983,0
2.65,3.249839836,1
1.942,2.289139857,0
4.00605,4.099558324,0
4.0595,3.40405041,1
2.252,1.880407837,0
2.076,1.868502422,0
2.214,2.221929851,0
4.238,4.363910187,0
4.292,4.310794732,0
4.342,4.166222804,0
4.35955,3.770486557,1
5.286,5.721131321,0
4.545,5.067575432,1
4.64695,4.323423599,0
4.7555,5.141646611,0
3.874,3.217910682,1
3.104,3.711390974,1
3.18,3.111600394,0
3.21,3.860578305,1
4.21485,4.831259936,1
3.062,2.312126286,1
4.27235,4.310094282,0
4.29885,3.613988346,1
4.31385,3.945598401,0
4.31375,4.988684034,1
1.936,2.217545405,0
1.95,2.537961554,1
1.948,2.472950681,1
4.0535,4.583826282,1
3.96,4.677819534,1
1.838,1.430895268,0
1.838,2.487089389,1
3.701,3.234140277,0
1.844,1.767899374,0
1.84,1.754984398,0
1.772,2.018223614,0
3.40775,3.770772053,0
3.3629,2.405870944,1
3.3104,4.293103166,1
2.964,3.063639859,0
2.602,2.678747873,0
2.504,1.622359816,1
2.51,2.352009581,0
2.502,1.558335321,1
2.506,3.268292351,1
2.516,2.433005436,0
2.53,3.268416771,1
2.382,1.470592376,1
1.542,1.560550149,0
3.0811,3.943126411,1
1.604,2.39950696,1
1.62,2.274400798,1
1.672,0.829225709,1
1.668,1.289982233,0
1.752,1.157272697,1
1.658,1.220095554,0
1.646,1.678001512,0
2.4919,1.953659923,1
1.656,1.325616376,0
2.41565,2.762512432,0
1.69,1.894540868,0
2.352,2.83497917,0
2.3713,2.966883904,1
2.38485,2.685825198,0
2.954,2.185327537,1
2.43235,2.194197168,0
2.418,2.319991045,0
2.436,2.034676058,0
2.4686,3.230089201,1
2.48315,1.623072997,1
2.4983,2.479188629,0
2.51365,3.078070029,1
2.464,2.412897228,0
2.52245,2.073388446,0
2.5141,2.053762062,0
1.458,0.589766469,1
1.45,0.645734701,1
2.4155,1.674303025,1
2.3765,2.24595605,0
1.634,1.391928598,0
1.674,2.217128634,1
2.30065,2.800019179,0
1.778,1.284400532,0
2.2648,2.933099871,1
1.602,2.524312574,1
1.81,1.748494469,0
3.0373,3.52916368,0
3.1072,4.018358044,1
3.19525,2.713876677,0
5.078,4.430888844,1
4.918,4.132222103,1
3.44095,3.34221213,0
3.51785,3.891204568,0
3.59745,3.233290734,0
4.868,5.763098991,1
4.946,5.539768704,1
3.8403,3.363075912,0
4.008,4.549034383,1
3.17775,4.002757784,1
4.086,4.086445183,0
4.022,3.037014391,1
4.008,4.147740713,0
4.1079,3.435003174,1
3.38085,3.259477152,0
3.4067,3.287837782,0
3.43565,2.66673693,1
3.978,3.68350357,0
3.50835,4.114637263,1
1.71,0.792320171,1
3.4698,2.743306228,1
1.63,0.996360853,1
1.62,1.393198487,0
3.242,3.834303873,1
3.956,4.867687778,1
5.442,6.245733799,1
4.978,5.683171689,1
3.73225,3.708828637,0
3.7713,4.698584033,1
4.5841,4.962762623,0
5.112,5.404833067,0
5.038,5.307983488,0
4.83785,4.828683001,0
4.92355,4.003599381,1
5.52,5.928600357,0
5.1647,6.090400895,1
7.908,6.987626499,1
5.3858,4.576865461,1
5.44265,4.755706494,1
5.43285,5.088689456,0
4.6544,4.600293359,0
4.62915,5.238140557,1
4.074,3.728700318,0
5.35205,4.785845241,1
4.068,4.937010867,1
4.5607,4.303614207,0
3.996,3.39938792,1
5.2777,5.449966004,0
5.656,6.283773381,1
5.638,5.425162089,0
5.652,6.343225644,1
5.4692,4.702190899,1
5.49875,6.384326417,1
5.192,6.020837873,1
5.168,4.413120449,1
5.585,6.571527991,1
5.6139,6.054923616,0
4.94,5.248958257,0
3.936,4.39766679,0
4.428,4.260106935,0
4.114,3.303927301,1
5.83395,5.451140066,0
5.1182,4.713691879,0
3.77,2.93237176,1
5.88515,5.417324717,0
5.86775,6.598211695,1
5.032,5.056181391,0
4.876,4.935691333,0
3,2.918502817,0
5.15445,5.107376257,0
5.11425,4.915761283,0
5.05385,4.093871469,1
3.946,3.338447076,1
5.7682,5.718647808,0
4.212,4.348426812,0
5.6756,5.340115671,0
3.752,4.463660535,1
4.752,4.091403246,1
4.64495,5.368243005,1
4.57,4.738773572,0
2.838,3.238345878,0
2.816,2.348905685,0
4.55665,4.905455257,0
4.5094,4.649521944,0
1.81,2.497436979,1
4.40115,4.460992168,0
4.34955,4.733957071,0
1.966,2.127995127,0
1.746,2.580928932,1
4.0884,4.510472366,0
1.722,1.206677279,1
1.732,1.502668242,0
1.706,1.435398672,0
1.726,2.206949559,0
1.68,1.145912154,1
1.646,0.974703293,1
2.418,2.431498678,0
3.43515,2.927478557,1
3.182,4.083620524,1
3.3849,2.523449172,1
3.022,3.740732816,1
3.31965,3.663346587,0
2.562,1.815763187,1
2.582,2.256847124,0
2.552,3.537650806,1
3.18585,3.837054175,1
2.544,3.384543823,1
3.0659,3.001028609,0
3.03235,2.724761062,0
2.9794,3.560004778,1
2.92995,2.204817457,1
2.90265,3.00427037,0
1.502,2.087665252,1
2.75765,2.050543218,1
2.6919,3.123661057,0
2.60335,3.260371616,1
1.572,1.840384809,0
1.616,2.071369935,0
1.59,1.064934781,1
1.598,2.070332549,0
2.31935,1.665404624,1
3.262,4.124186263,1
3.166,3.390762401,0
3.258,3.754430452,0
3.274,2.742248978,1
2.848,1.878843042,1
2.4447,2.755322797,0
2.46495,2.376447517,0
2.4925,1.977035653,1
2.52225,2.329973519,0
2.876,3.527016992,1
2.776,2.995331978,0
2.6044,2.042182722,1
2.6086,3.193343833,1
1.808,2.258040756,0
2.64905,1.705699291,1
2.64845,1.927592498,1
2.6326,2.306558133,0
2.574,2.728471138,0
2.04,1.076232804,1
2.206,2.425298345,0
1.606,1.055278462,1
1.62,1.089584066,1
2.49575,1.750074153,1
1.632,1.779204909,0
2.45675,2.839806909,0
3.302,3.48700299,0
3.164,2.600505454,1
2.5309,1.580088502,1
3.26,3.068890538,0
2.60605,2.666368484,0
2.6374,3.195528743,1
2.66915,1.686543776,1
2.766,2.195287975,1
2.7298,3.522294548,1
2.706,3.562546553,1
2.578,1.696934186,1
2.596,2.353332735,0
2.82715,2.033748145,1
2.82575,3.780557764,1
1.52,0.860581378,1
2.7812,2.710246306,0
1.536,0.986592956,1
1.602,2.486687543,1
2.6577,3.587287786,1
1.63,1.685535479,0
1.608,1.271837648,0
2.56605,1.566971419,1
1.596,1.438852462,0
2.5036,2.878711766,0
1.778,2.155879118,0
3.2604,2.854826676,0
2.52605,1.826948797,1
4.26,3.698701977,1
2.63095,1.883984204,1
2.6276,3.524376162,1
2.816,3.208602198,0
2.792,2.762438248,0
2.64875,1.997975543,1
2.66835,2.75354207,0
2.842,2.687840052,0
2.832,2.706117343,0
2.7457,2.608009015,0
2.76035,3.435995116,1
2.7646,3.512005035,1
2.76115,1.854038249,1
2.7235,2.925438201,0
2.68865,1.697144747,1
2.6468,3.439049285,1
1.464,2.057494203,1
2.56915,3.506865105,1
1.392,1.913809763,1
2.5004,1.967759988,1
1.354,1.553663374,0
1.368,2.063651426,1
2.3967,1.686952038,1
2.3686,3.367285506,1
1.916,1.500896523,0
2.3845,1.709236367,1
2.4382,1.52986943,1
2.49275,2.21196926,0
2.54605,2.730131571,0
3.706,4.299652991,1
2.65235,2.326426736,0
3.784,4.215011419,0
2.76015,2.226041808,1
2.81475,3.071979946,0
3.798,4.376691799,1
2.897,2.073253771,1
2.8924,3.788118386,1
1.488,0.951944355,1
2.83155,2.980045938,0
3.998,3.406107192,1
3.838,3.959406075,0
1.768,1.876967712,0
2.75435,3.220814035,0
2.73835,1.805087291,1
2.7639,2.53884784,0
2.78985,1.927132508,1
2.8161,3.652799537,1
2.84175,3.695347278,1
2.86695,2.522292901,0
2.8896,2.098272134,1
2.92855,3.17790826,0
2.334,2.771396661,0
2.93455,3.790619355,1
2.92655,2.053616688,1
1.504,1.605235423,0
1.464,1.207050551,0
2.9151,3.877882166,1
1.37,2.268090656,1
2.9113,2.719005675,0
2.9101,2.555801881,0
1.362,0.619556113,1
2.9115,2.27747281,1
1.724,2.385758481,1
2.226,2.506464352,0
2.474,1.662232279,1
1.684,0.928633696,1
2.8537,3.135213228,0
2.448,2.283658303,0
2.628,3.251246402,1
1.718,2.550240976,1
1.694,2.590530898,1
2.64545,2.774999848,0
1.524,1.313219167,0
1.558,1.671702571,0
2.475,2.820953913,0
1.466,0.556695662,1
2.44345,1.672637391,1
2.44265,1.666164747,1
1.454,1.677737666,0
2.3652,1.812814015,1
2.3052,1.79323683,1
1.452,0.690072152,1
2.29515,1.359026359,1
2.2777,2.253109436,0
1.476,0.820294732,1
1.464,1.700680075,0
1.47,2.044942064,1
2.0391,1.37792512,1
1.9798,1.135794523,1
1.9226,1.758241248,0
1.8655,1.078971605,1
1.47,2.46762773,1
1.8434,2.499638681,1
1.476,0.978794057,0
1.84265,0.99320108,1
1.84275,1.598183265,0
1.8443,2.29150923,0
1.84675,1.032749683,1
1.404,2.282505013,1
1.8478,1.378114144,0
1.374,1.22976928,0
1.37,1.371041234,0
1.8382,1.068550875,1
1.8169,1.640001925,0
1.376,0.688141236,1
1.7818,0.901608412,1
1.77365,1.421827495,0
1.7465,1.488866785,0
1.362,1.143112775,0
1.7058,1.71633976,0
1.36,0.873863161,0
1.36,2.099267419,1
1.68475,1.35910299,0
1.68175,1.041841659,1
1.6808,0.838465051,1
1.68005,0.69953396,1
1.6885,0.990596451,1
1.7075,1.393849045,0
2.314,2.25016962,0
1.76685,1.718402203,0
1.80485,1.474541632,0
2.468,2.410688108,0
2.214,1.89366378,0
1.8649,1.652505155,0
1.8816,2.500369372,1
2.192,3.090903168,1
2.236,2.709311167,0
1.9402,1.226625109,1
1.9619,1.925051491,0
1.98325,1.573770648,0
2.322,1.965486432,0
2.02575,1.068937708,1
2.0467,1.391709734,1
2.298,1.991423522,0
2.396,2.987844735,1
2.11145,2.598445596,0
2.11905,1.126771277,1
1.77,2.010774434,0
1.77,1.4332682,0
1.752,0.976486319,1
1.746,1.334502581,0
2.16325,1.99582528,0
2.1701,2.727812345,1
2.1793,2.324754763,0
2.32,1.641778087,1
2.308,1.782204186,1
2.24,2.563274741,0
2.236,2.532147021,0
2.226,1.571129007,1
2.31345,1.44451712,1
2.33585,1.789186815,1
2.478,2.238860185,0
2.554,2.803830063,0
2.318,2.24495281,0
2.424,3.284622512,1
2.4631,3.376181172,1
2.38,1.701377454,1
2.48165,2.924395721,0
2.48325,2.687582553,0
2.364,1.777238068,1
2.4533,2.099797245,0
2.45155,1.813302385,1
2.354,3.133215294,1
2.354,1.544592127,1
2.356,1.723053328,1
2.298,1.768675453,1
2.276,2.670257685,0
2.35,3.330929468,1
2.46885,2.237096924,0
2.292,1.962669454,0
2.4,1.411762683,1
2.472,2.533322017,0
2.396,1.419080844,1
2.398,2.109683301,0
2.398,1.761049623,1
2.406,3.243116352,1
2.49525,2.880225763,0
2.51715,3.051359016,1
2.5544,2.020227068,1
5.392,5.536565186,0
5.408,4.983628427,0
5.6,4.777164146,1
3.292,4.233296102,1
2.9061,2.738184371,0
2.9225,2.059683833,1
2.9346,3.817226247,1
2.94305,2.736407645,0
2.9519,3.369956925,0
2.96095,2.79375101,0
2.9696,3.648363564,1
2.9779,3.143518142,0
2.588,2.152975556,0
2.568,1.60444188,1
2.56,1.810030132,1
2.9904,3.568389074,1
2.99535,2.222100195,1
2.616,2.669359986,0
2.616,2.983120218,0
3.0135,2.791901435,0
3.0203,3.871402634,1
3.02725,3.107196501,0
3.0332,3.375545273,0
3.0401,2.568000097,0
3.04685,3.721309552,1
2.606,1.725304436,1
2.622,3.014014797,0
3.06915,2.806929341,0
2.58,2.118146762,0
3.0808,2.644703187,0
3.08755,2.11105616,1
2.566,2.094105409,0
2.562,2.349168438,0
2.556,2.532918653,0
3.104,2.163767367,1
2.672,3.509609641,1
2.692,2.161333099,1
2.668,2.088456283,1
2.66,2.607130923,0
2.666,1.719408294,1
2.676,2.160427082,1
2.678,3.355317808,1
2.676,3.65220076,1
2.666,2.814128458,0
